Investment_Cost,Risk_Cost,Budget,PM_Start,PM_Stop,Rehab_Trigger,Split_Ratio,Total_Cost
1629973.228632755,33596894.263725005,43719.325034708745,2.544335643278896,2.4038167062267295,2.5123125082193543,0.15244853306917386,35226867.49235776
530558.5915967049,35825131.234605,15722.105397925925,2.544335643278896,2.2740972684291934,2.5123125082193543,0.15930167693924702,36355689.82620171
1793814.3188815303,32848029.22494002,45043.33355781137,2.544335643278896,2.403389788531168,2.510237961376221,0.15202552468075706,34641843.54382155
2166479.8663863298,31783592.546509996,43057.643748599075,2.5912051271492236,2.4038167062267295,2.531896534172978,0.11098059373647089,33950072.41289633
7180192.140301571,23018252.542635515,88012.06402611933,2.585223023310844,2.4039404864702982,1.6032372754909532,0.1136648535306041,30198444.682937086
7417012.930599737,21953137.354090508,91678.66730287966,2.577415290129489,2.404766042196599,1.9161865489972962,0.1109405636147916,29370150.284690246
739107.5953375148,35819607.30343002,15493.216296841594,2.715990360492644,2.404518812928131,2.628495296819671,0.1548834080506129,36558714.89876754
7100312.652897453,23264776.08276499,91678.66730287966,2.5500389417916685,2.4047662862101102,1.9161865489972962,0.1109405636147916,30365088.735662445
7383403.813290039,22974698.63808051,89842.29035997714,2.585210415493649,2.4039404864702982,1.596607861303702,0.11313114799805574,30358102.451370552
1021390.0103973147,35397272.64095499,15722.105397925925,2.544335643278896,2.278655637301858,2.0546294808171197,0.15934083205307836,36418662.65135231
1882956.4329135201,32512223.40831549,44301.5362197116,2.577558680402038,2.4038167062267295,2.531896534172978,0.1109424944112737,34395179.841229014
5598569.235057656,24743200.223670006,86903.1592018304,2.5777363454250315,2.4048175280856743,2.4880834395851594,0.11187354944116347,30341769.45872766
5245261.238845247,24881106.982975494,89056.07460841959,2.7174744485080606,2.4047685069920144,2.631228777282182,0.11079663917815828,30126368.221820742
5937033.594758812,23428002.357450005,86903.1592018304,2.5879135283583112,2.404817772099185,2.4878849166454233,0.10827418087830505,29365035.952208817
48042.743914089995,36913391.43594999,16330.972809657113,2.531156377874307,2.393850347546368,2.530889517713002,0.12025401468106893,36961434.17986408
1744907.66629223,32896874.704955008,44301.5362197116,2.577558680402038,2.4038167062267295,2.531896534172978,0.11208478612481307,34641782.37124724
1954824.36293718,31982076.501330007,39779.607500098995,2.5912051271492236,2.403782189722633,2.531896534172978,0.11098059373647089,33936900.864267185
1684577.4265452907,33375859.933969997,43719.325034708745,2.544335643278896,2.4038167062267295,2.5119549866469018,0.15354041845925884,35060437.36051529
2340673.216457081,31493561.62451001,45165.498853193865,2.550478411435461,2.403158289375953,2.4880834395851594,0.11095743876359658,33834234.84096709
2562310.1700589983,30897538.53487002,44145.68670621168,2.72480352203252,2.2821956104281744,2.633399411646529,0.10694849423926804,33459848.70492902
851141.7325610451,35542618.574070044,16324.257315987626,2.715990360492644,2.404518812928131,2.628495296819671,0.1548834080506129,36393760.30663109
30544.910823409995,37621096.6612055,13913.08176131965,2.531156377874307,2.393850347546368,2.5310424287356805,0.11984026215235774,37651641.57202891
1468959.6183099395,33969748.09562501,41244.57348477339,2.54958607541266,2.4047662862101102,2.512986966218547,0.1109405636147916,35438707.71393495
24525.80682592,37668940.93544002,11825.31822452169,2.531156377874307,2.393850347546368,2.5310424287356805,0.11984026215235774,37693466.74226594
3785796.635188356,29152442.344195507,78875.51006116513,2.584551602584046,2.4047690228973537,2.531896534172978,0.12559084974614576,32938238.979383864
5665978.01982378,23526541.144694984,86903.1592018304,2.5879135283583112,2.404817772099185,2.4880934037508493,0.10827418087830505,29192519.164518766
34759.999148049996,37546288.63427549,11825.31822452169,2.531384371956073,2.393850347546368,2.5310424287356805,0.11984026215235774,37581048.63342354
9390.658240519999,37914739.46367501,11825.31822452169,2.531156377874307,2.4044203337675043,2.5310424287356805,0.10825526269321747,37924130.12191553
5030143.430613016,26048995.954000007,91678.66730287966,2.577415290129489,2.404766042196599,2.5033845975398936,0.11046706364130557,31079139.384613022
4232148.8702628,26866748.502264995,86903.1592018304,2.550939983306597,2.404817772099185,2.4880934636435637,0.10829134412956322,31098897.372527793
2598066.6840850506,30897248.75043001,45165.498853193865,2.550478411435461,2.4026355182813437,2.4880834395851594,0.11095743876359658,33495315.43451506
336516.76831193,36360593.89195501,9676.37839407369,2.531156377874307,2.4044203337675043,2.488440301487341,0.14517698338633891,36697110.66026694
3792193.0412913137,28451206.221889995,78875.51006116513,2.5845622101572423,2.4047659382801925,2.531896534172978,0.1108192288995825,32243399.26318131
46797.769016490005,37499093.96803999,16330.972809657113,2.5309734558699386,2.3943731186409773,2.530889517713002,0.12011607264724428,37545891.73705648
1401817.8043897897,34006882.928105526,45224.15647177985,2.544655151514319,2.403912694277353,2.5123125082193543,0.1100838623273915,35408700.732495315
2279041.3224302,31517269.27237503,42161.26439923212,2.577415290129489,2.404766042196599,2.5031770767798007,0.11046706364130557,33796310.594805226
1853226.6251815795,32650463.269815017,44727.02392911178,2.5768918302963186,2.403817607603544,2.531896534172978,0.11170075521669585,34503689.8949966
2361288.73152813,31251740.6957255,44263.2624210253,2.550478411435461,2.4037896197275024,2.4883620823595147,0.11214180837709412,33613029.427253634
2255441.8420987795,31782382.81799001,45165.498853193865,2.550478411435461,2.4026586217886927,2.4880834395851594,0.11101938880172472,34037824.660088785
12429.83718711,37744755.14172048,11870.36902735955,2.528733627507733,2.4045187961633987,2.5310424287356805,0.10825526269321747,37757184.97890759
223839.52172077002,36655256.80697501,11825.31822452169,2.531156377874307,2.4044203337675043,2.5132342761036846,0.10811458322178258,36879096.328695774
1060364.589047286,34714114.16620551,22139.415660676128,2.585220323315636,2.403062721777485,2.519439024860777,0.11319527956165484,35774478.75525279
3302597.6926257154,30116113.84654999,86857.06956946068,2.576852341032035,2.403828719274644,2.530587934526417,0.11102382573017221,33418711.539175708
